10.148.144.1  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.3  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.0/12.0/12.0
10.148.144.4  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.5  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.4/10.4/10.4
10.148.144.6  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.3/10.3/10.3
10.148.144.9  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.7/11.7/11.7
10.148.144.10 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.144.11 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.1/12.1/12.1
10.148.144.13 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.144.14 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.6/12.6/12.6
10.148.144.15 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.8/12.8/12.8
10.148.144.16 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.8/11.8/11.8
10.148.144.17 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.144.18 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.4/12.4/12.4
10.148.144.19 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.1/12.1/12.1
10.148.144.20 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.7/10.7/10.7
10.148.144.21 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.22 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.23 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.144.24 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.25 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.0/10.0/10.0
10.148.144.26 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.0/12.0/12.0
10.148.144.27 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 39.4/39.4/39.4
10.148.144.28 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 17.0/17.0/17.0
10.148.144.29 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.5/13.5/13.5
10.148.144.30 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.1/10.1/10.1
10.148.144.31 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.32 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.33 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.34 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 14.3/14.3/14.3
10.148.144.35 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.36 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.37 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.1/10.1/10.1
10.148.144.38 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.144.39 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.40 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.144.41 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.7/11.7/11.7
10.148.144.42 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.9/11.9/11.9
10.148.144.43 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.144.44 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.45 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.6/13.6/13.6
10.148.144.46 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.3/11.3/11.3
10.148.144.47 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.49 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.4/10.4/10.4
10.148.144.50 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.51 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.52 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.8/12.8/12.8
10.148.144.54 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.2/12.2/12.2
10.148.144.55 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.56 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.0/10.0/10.0
10.148.144.58 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.3/11.3/11.3
10.148.144.59 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.144.60 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 9.81/9.81/9.81
10.148.144.61 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.144.62 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.3/11.3/11.3

10.148.144.65  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.66  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.0/10.0/10.0
10.148.144.67  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.144.69  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.144.70  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.71  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.72  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 17.7/17.7/17.7
10.148.144.73  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.9/11.9/11.9
10.148.144.74  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.1/13.1/13.1
10.148.144.75  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.3/11.3/11.3
10.148.144.76  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.77  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.78  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.9/11.9/11.9
10.148.144.79  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.7/11.7/11.7
10.148.144.80  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.4/12.4/12.4
10.148.144.83  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.144.84  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.85  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.86  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.0/10.0/10.0
10.148.144.87  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.144.88  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.7/11.7/11.7
10.148.144.89  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.144.90  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 9.91/9.91/9.91
10.148.144.91  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.92  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.4/12.4/12.4
10.148.144.95  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.97  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.3/13.3/13.3
10.148.144.98  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.144.99  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.2/13.2/13.2
10.148.144.100 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.6/13.6/13.6
10.148.144.101 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.102 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.103 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.104 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.144.105 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.106 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.3/11.3/11.3
10.148.144.107 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.144.108 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.7/11.7/11.7
10.148.144.109 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.144.111 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.144.112 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.113 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.114 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
